task_name,index,result,model_name
ko_quiz_1,0,!정답은?! 2.'우겨넣다'는 ',kullm5.8b
ko_quiz_1,1, [정답] 어떤 것이 맞는 말? [정답] 어떤,kullm5.8b
ko_quiz_1,2,​'달맏이'와 '달맞이'는 모두 맞,kullm5.8b
ko_quiz_1,3,새벽녘새벽녘새벽녘새벽녘새벽녘새벽녘새벽녘새벽녘,kullm5.8b
ko_quiz_1,4,베개에 누우면 머리카락이 빠진다?베갯잇과 베갯,kullm5.8b
ko_quiz_1,5,"정답 : 뾰족뾰족풀이 : ""뾰족뾰족",kullm5.8b
ko_quiz_1,6,** 알은 체하다 **는 뜻을 표현할 때는?,kullm5.8b
ko_quiz_1,7," '창피'입니다.창피는 속어, 저속한 표현",kullm5.8b
ko_quiz_1,8,우리가 흔히 잘못 쓰는 단어인'껍질'과 '껍데기',kullm5.8b
ko_quiz_1,9,쌓아진침대 매트리스 아래에 있는 물건들을 뭐라고 하나,kullm5.8b
ko_quiz_1,10,3. '바깥'과 '바깥' 중 어떤 말이 맞,kullm5.8b
ko_quiz_1,11,...어제 다음으로 접속하면서 다음을 처음 보았습니다.제가,kullm5.8b
ko_quiz_1,12, 헷갈리는 것 같아서...!,kullm5.8b
ko_quiz_1,13,??,kullm5.8b
ko_quiz_1,14,내딛는 것이 맞는 말!​내딛다와 내딛,kullm5.8b
ko_quiz_1,15,헷갈릴 수 있는 두 단어가 있습니다.교통양과,kullm5.8b
ko_quiz_1,16,정답은?정답은 '새다'입니다.'새우다,kullm5.8b
ko_quiz_1,17,문장에 따라 다릅니다.가깝다와 가깝다 모두 맞는 말,kullm5.8b
ko_quiz_1,18,[정답]은 '반드시'와 '반듯이'와 '반,kullm5.8b
ko_quiz_1,19,정답은?아는 데로아는 데로아는 데로,kullm5.8b
ko_quiz_1,20,1. 감귤류의 이름2. 만화3. 장난스러운'날름,kullm5.8b
ko_quiz_1,21,답은 '꼬까'입니다.'꼬까'는 '꼬까,kullm5.8b
ko_quiz_1,22, beetle [비들] 나비can't [칸],kullm5.8b
ko_quiz_1,23,답은 '낚지'입니다.'낚지'는 '낚다,kullm5.8b
ko_quiz_1,24," 정답: 감기가 낫다, 감기가 낫다. 감기가 낫다",kullm5.8b
ko_quiz_1,25,!​​​​​​​,kullm5.8b
ko_quiz_1,26,?,kullm5.8b
ko_quiz_1,27, 맞춤법 퀴즈 정답은 무엇일까요?,kullm5.8b
ko_quiz_1,28,정나미'와 '정내미'어떤 것이 맞는 말일까요,kullm5.8b
ko_quiz_1,29,어떤 것이 더 정확한가요?​질문을 하고 생각해 보,kullm5.8b
ko_quiz_1,30,정답은?정답은 '체지방량'입니다.체지방,kullm5.8b
ko_quiz_1,31,이 문제에서 가장 큰 차이점은 무엇일까?이 문제를 풀 때 어떤,kullm5.8b
ko_quiz_1,32,'연필이 책상 위에 놓여 있다'와 '연필이,kullm5.8b
ko_quiz_1,33,"맞춤법 공부를 해보자! 안녕하세요. 바른말 전도사,",kullm5.8b
ko_quiz_1,34,어째서?어째서?어떻게?영어를 잘한다고 자신을,kullm5.8b
ko_quiz_1,35,정답은 '꽤나'입니다.'꽤나'는,kullm5.8b
ko_quiz_1,36,(가) 폭설은 마을을 덮쳤다(나) 폭설이 마을,kullm5.8b
ko_quiz_1,37,답은 '첫새벽'입니다. '신새벽'은 '신새벽,kullm5.8b
ko_quiz_1,38, '예삿일'이 맞는 말!예삿일이 아닌 것,kullm5.8b
ko_quiz_1,39, 정답은? '배턴터치'입니다.배턴을 받는 사람,kullm5.8b
ko_quiz_1,40,허구헌 날/ 허구헌 날/ 허구헌 날/ 허구헌 날,kullm5.8b
ko_quiz_1,41, '스멀스멀'과 '스물스물'어떤 것이,kullm5.8b
ko_quiz_1,42,?오늘도 이와 관련한 문제가 나왔어요.우리말에는,kullm5.8b
ko_quiz_1,43,'남비'와 '냄비'는 어떻게 다를까?'내일,kullm5.8b
ko_quiz_1,44,>>>>>>>>>>>>>>>>,kullm5.8b
ko_quiz_1,45," 정답 : 기저귀 - [기저귀] 맞춤법도 틀렸고, 띄",kullm5.8b
ko_quiz_1,46,? '꼬라비'가 맞는 말!'꼬라비',kullm5.8b
ko_quiz_1,47,??https://blog.naver.com/,kullm5.8b
ko_quiz_1,48,'수염소'와 '숫염소'어떤 것이 맞는 말,kullm5.8b
ko_quiz_1,49,????????????????,kullm5.8b
ko_quiz_1,50,[전자신문인터넷 소성렬기자] ‘담가’와 ‘담,kullm5.8b
ko_quiz_1,51,2.동물의 왕을 뜻하는 단어는?3.이것은,kullm5.8b
ko_quiz_1,52,띄어 쓰기? 띄어 쓰기?띄어 쓰기,kullm5.8b
ko_quiz_1,53,'으례'가 맞는 말입니다.'으레'는 부,kullm5.8b
ko_quiz_1,54,[국어어휘]'경련'의 반대말은?[영어,kullm5.8b
ko_quiz_1,55,---------------------------------------###########,kullm5.8b
ko_quiz_1,56,"(9급)​​맞다, 틀리다, 맞다",kullm5.8b
ko_quiz_1,57,'여기에 이르다'와 '여기에 이르다'어떤 것이,kullm5.8b
ko_quiz_1,58,이 문제는 중학교 1학년 사회 과목에서도 출제되었습니다.교과서,kullm5.8b
ko_quiz_1,59,한글 맞춤법 제53항에서는 '뵈다'라는 말을 쓰,kullm5.8b
ko_quiz_1,60," ""뒤에""라는 말이 있으면 '뒤'를 써야 합니다.",kullm5.8b
ko_quiz_1,61,제재는 '제제'의 잘못된 표기입니다.'제재'는,kullm5.8b
ko_quiz_1,62,댓글로 정답을 맞혀주세요!힌트: '지지율',kullm5.8b
ko_quiz_1,63,젖니는 말 그대로 젖을 먹기 위해 있는 치아입니다.젖,kullm5.8b
ko_quiz_1,64,졸리다와 졸립다를 혼동하는 사람이 많다.,kullm5.8b
ko_quiz_1,65,!붇다(으)ㄹ(ㅂ)다(으,kullm5.8b
ko_quiz_1,66,'헛되이'와 '헛되히'를 구분할 수 있,kullm5.8b
ko_quiz_1,67, ① 가냘프다 ② 갸냘프다 ③ 가냘,kullm5.8b
ko_quiz_1,68,우리 집은 강남에 있습니다.강남은 어디에 있는 강인가요,kullm5.8b
ko_quiz_1,69,​​​​​​​​,kullm5.8b
ko_quiz_1,70,"정말 '꿈'이 무엇인지는 모르겠지만,앞으로의 목표",kullm5.8b
ko_quiz_1,71,어떤 것이 더 자연스러운가요?,kullm5.8b
ko_quiz_1,72,생각하지 않고 말하다'와 '생각하지 않고,kullm5.8b
ko_quiz_1,73,느긋히는 틀린 말입니다.느긋하다와 느긋하다는,kullm5.8b
